PO-MODEL-0,PO-UCVM-0
2986.113,2880.575
2989.1331,2884.368
3029.51,2961.839
3129.0239,3107.012
3208.479,3232.63
3294.824,3367.452
3430.3,3534.707
3558.491,3695.765
3763.3679,3914.264
4017.572,4181.923
4309.48,4472.549
4641.6382,4795.068
5045.6631,5185.115
5398.3779,5500.68
5731.4468,5792.67
6069.2842,6078.592
6318.167,6277.414
6540.5908,6452.543
6748.354,6614.356
6958.167,6777.242
7164.4409,6942.807
7204.2671,6976.547
7235.7051,7009.505
7267.8931,7043.246
7281.1592,7060.55
7289.145,7071.784
7284.9482,7071.812
7296.7998,7088.14
7294.2549,7089.904
7284.6719,7085.265
7275.54,7084.015
7261.6318,7076.381
7257.2881,7078.106
7251.4521,7077.543
7247.9141,7080.751
7243.4849,7082.908
7236.9399,7083.479
7245.708,7099.22
7247.1089,7107.292
7247.5498,7114.521
7229.9268,7104.757
7212.0532,7094.516
7181.5278,7073.298
7150.6392,7051.656
7113.0,7025.721
7041.8848,6964.824
6974.9731,6909.523
6908.7891,6854.62
6856.3569,6813.872
6804.293,6773.23
6768.5,6747.946
6735.105,6724.941
6715.229,6714.264
6694.4209,6702.33
6680.4292,6695.093
6666.1821,6687.549
6653.6602,6679.17
6640.877,6670.495
6626.7939,6658.26
6612.4561,6645.757
6597.6211,6633.785
6581.0278,6620.846
6574.1099,6617.35
6597.5459,7854.513
7786.4951,7855.117
7792.5708,7860.654
7791.5059,7857.581
7790.731,7854.564
7789.002,7851.588
7787.1709,7848.5
7788.519,7848.87
7788.9912,7848.446
7795.2578,7854.185
7801.48,7859.867
7814.8062,7872.761
7827.165,7884.647
7843.0,7898.938
7853.6299,7908.143
7867.7261,7920.175
7881.2759,7931.667
7894.4702,7941.521
7905.6309,7949.65
7913.9712,7953.64
7922.272,7957.585
7925.4492,7955.01
7928.8252,7952.644
7925.0649,7942.307
7921.5981,7932.298
7910.9199,7914.759
7900.0088,7897.038
7879.9048,7870.346
7859.771,7843.694
7830.6841,7809.317
7801.4751,7774.9
7768.5811,7739.182
7736.5298,7704.358
7708.9092,7676.624
7682.814,7650.4
7662.3931,7631.413
7642.084,7618.104
