BILLY-25,MODEL-25
4543.266601,4553.72239523
4549.082349,4559.49699385
4725.056817,4732.95202307
4951.849423,4957.85347174
5229.227313,5234.56363014
5522.682707,5527.39759708
5776.405736,5782.05634679
6034.19521,6040.8689108
6213.732153,6221.86391772
6397.210019,6406.74038447
6481.662357,6491.45372011
6570.050596,6579.2123514
6588.84133,6596.19982122
6597.054856,6603.15484083
6583.348897,6587.64281892
6585.632768,6588.33279931
6569.401373,6570.47686044
6549.724375,6549.20363668
6505.7599,6503.93993387
6463.097497,6460.02746674
6395.613741,6391.64992157
6257.780111,6253.21326105
6114.975867,6110.28316955
5977.179058,5972.40748674
5852.954591,5848.5630965
5729.291699,5725.31440907
5643.627943,5640.41614917
5576.526255,5573.9502253
5575.020884,5573.35412995
5582.970903,5582.2881311
5674.244687,5674.5377451
5781.957047,5783.28721069
5970.223902,5972.44611572
6216.826551,6220.06250481
6373.450557,6377.09308727
6556.346144,6560.39892541
6652.296678,6656.21567512
6701.224583,6704.95336832
6685.491511,6688.41029335
6669.426636,6671.55186582
6624.028474,6625.06261284
6579.168785,6579.14848328
6526.568693,6525.49172972
6474.518512,6472.4298416
6428.297086,6425.36894387
6423.138339,6419.15975509
6423.808255,6419.13314725
6424.281084,6418.92115302
6424.578697,6419.01603114
6424.623379,6418.86313264
6416.717424,6411.24201115
6408.209812,6403.0183514
6401.742295,6397.03883852
6393.200634,6389.00832065
6386.091126,6382.53082507
6379.022299,6376.08959285
6378.451096,6376.12005921
6377.819196,6376.09239523
6391.613591,6390.31998347
6405.235252,6404.38368281
6444.899627,6444.12318724
6484.863872,6484.20945636
6624.518981,6622.4214083
6939.963825,6924.86625106
7326.09316,7306.47394617
7613.569485,7597.56720761
7751.941142,7741.31263899
7801.673556,7796.52673933
7820.04015,7820.73382776
7838.673249,7839.81364014
7844.235652,7845.19759054
7850.671745,7851.44422261
7854.169343,7854.33067397
7857.809823,7857.35479662
7863.28451,7862.1076659
7860.978704,7859.1894852
7858.519623,7856.24590388
7850.255882,7847.53668474
7848.260527,7845.18642868
7847.04574,7843.59839677
7847.341349,7843.65737562
7851.287263,7847.37933987
7854.816436,7850.7830123
7858.87035,7854.70362745
7860.555444,7856.30318647
7862.899458,7858.55479085
7861.790031,7857.39529642
7861.449385,7856.99670511
7856.197174,7851.80660592
7850.816267,7846.48749942
7836.663037,7832.62743637
7822.670419,7818.92242714
7797.191326,7794.01620223
7771.531761,7768.92595732
7734.80103,7732.9563514
7699.13669,7698.03915571
7659.195752,7658.85698424
7620.670834,7621.0799308
7585.175167,7586.24549097
7550.028993,7551.75115686
